concept,priority,status,notes
observer-expectancy-effect,2,needs-enrich,"L2 · 28w · 0 links · 1 refs"
occams-razor,2,needs-enrich,"L2 · 25w · 0 links · 1 refs"
omission-bias,2,needs-enrich,"L2 · 27w · 0 links · 1 refs"
optimism-bias,2,needs-enrich,"L2 · 15w · 0 links · 1 refs"
ostrich-effect,2,needs-enrich,"L2 · 13w · 0 links · 1 refs"
out-group-homogeneity-bias,2,needs-enrich,"L2 · 25w · 0 links · 1 refs"
outcome-bias,2,needs-enrich,"L2 · 36w · 0 links · 1 refs"
overconfidence-effect,2,needs-enrich,"L2 · 20w · 0 links · 1 refs"
pareidolia,2,needs-enrich,"L2 · 29w · 0 links · 1 refs"
part-list-cueing-effect,2,needs-enrich,"L2 · 23w · 0 links · 1 refs"
peak-end-rule,2,needs-enrich,"L2 · 38w · 0 links · 1 refs"
pessimism-bias,2,needs-enrich,"L2 · 13w · 0 links · 1 refs"
picture-superiority-effect,2,needs-enrich,"L2 · 12w · 0 links · 1 refs"
placebo-effect,2,needs-enrich,"L2 · 25w · 0 links · 1 refs"
planning-fallacy,2,needs-enrich,"L2 · 16w · 0 links · 1 refs"
positivity-effect,2,needs-enrich,"L2 · 31w · 0 links · 1 refs"
post-purchase-rationalization,2,needs-enrich,"L2 · 5w · 0 links · 1 refs"
prejudice,2,needs-enrich,"L2 · 18w · 0 links · 1 refs"
primacy-effect,2,needs-enrich,"L2 · 52w · 0 links · 1 refs"
pro-innovation-bias,2,needs-enrich,"L2 · 16w · 0 links · 1 refs"
projection-bias,2,needs-enrich,"L2 · 13w · 0 links · 1 refs"
pseudocertainty-effect,2,needs-enrich,"L2 · 14w · 0 links · 1 refs"
publication-bias,2,needs-enrich,"L2 · 13w · 0 links · 1 refs"
reactance,2,needs-enrich,"L2 · 35w · 0 links · 1 refs"
reactive-devaluation,2,needs-enrich,"L2 · 17w · 0 links · 1 refs"
recency-effect,2,needs-enrich,"L2 · 23w · 0 links · 1 refs"
recency-illusion,2,needs-enrich,"L2 · 19w · 0 links · 1 refs"
restraint-bias,2,needs-enrich,"L2 · 18w · 0 links · 1 refs"
rhyme-as-reason-effect,2,needs-enrich,"L2 · 19w · 0 links · 1 refs"
risk-compensation,2,needs-enrich,"L2 · 57w · 0 links · 1 refs"
rosy-retrospection,2,needs-enrich,"L2 · 18w · 0 links · 1 refs"
sapir-whorf-korzybski-hypothesis,2,needs-enrich,"L2 · 13w · 0 links · 1 refs"
selective-perception,2,needs-enrich,"L2 · 31w · 0 links · 1 refs"
self-consistency-bias,2,needs-enrich,"L2 · 19w · 0 links · 1 refs"
self-licensing,2,needs-enrich,"L2 · 37w · 0 links · 1 refs"
self-relevance-effect,2,needs-enrich,"L2 · 16w · 0 links · 1 refs"
self-serving-bias,2,needs-enrich,"L2 · 20w · 0 links · 1 refs"
semmelweis-reflex,2,needs-enrich,"L2 · 59w · 0 links · 1 refs"
serial-position-effect,2,needs-enrich,"L2 · 43w · 0 links · 1 refs"
serial-recall-effect,2,needs-enrich,"L2 · 18w · 0 links · 1 refs"
social-comparison-bias,2,needs-enrich,"L2 · 20w · 0 links · 1 refs"
social-desirability-bias,2,needs-enrich,"L2 · 18w · 0 links · 1 refs"
source-confusion,2,needs-enrich,"L2 · 35w · 0 links · 1 refs"
spacing-effect,2,needs-enrich,"L2 · 12w · 0 links · 1 refs"
spotlight-effect,2,needs-enrich,"L2 · 15w · 0 links · 1 refs"
status-quo-bias,2,needs-enrich,"L2 · 22w · 0 links · 1 refs"
stereotyping,2,needs-enrich,"L2 · 9w · 0 links · 1 refs"
subadditivity-effect,2,needs-enrich,"L2 · 57w · 0 links · 1 refs"
subjective-validation,2,needs-enrich,"L2 · 33w · 0 links · 1 refs"
suggestibility,2,needs-enrich,"L2 · 20w · 0 links · 1 refs"
sunk-cost-fallacy,2,needs-enrich,"L2 · 26w · 0 links · 1 refs"
survivorship-bias,2,needs-enrich,"L2 · 57w · 0 links · 1 refs"
swimmers-body-illusion,2,needs-enrich,"L2 · 44w · 0 links · 1 refs"
system-justification,2,needs-enrich,"L2 · 61w · 0 links · 1 refs"
telescoping-effect,2,needs-enrich,"L2 · 21w · 0 links · 1 refs"
testing-effect,2,needs-enrich,"L2 · 23w · 0 links · 1 refs"
third-person-effect,2,needs-enrich,"L2 · 14w · 0 links · 1 refs"
time-discounting,2,needs-enrich,"L2 · 19w · 0 links · 1 refs"
time-saving-bias,2,needs-enrich,"L2 · 16w · 0 links · 1 refs"
tip-of-the-tongue-phenomenon,2,needs-enrich,"L2 · 29w · 0 links · 1 refs"
trait-ascription-bias,2,needs-enrich,"L2 · 18w · 0 links · 1 refs"
ultimate-attribution-error,2,needs-enrich,"L2 · 47w · 0 links · 1 refs"
unit-bias,2,needs-enrich,"L2 · 16w · 0 links · 1 refs"
von-restorff-effect,2,needs-enrich,"L2 · 73w · 0 links · 1 refs"
weber-fechner-law,2,needs-enrich,"L2 · 50w · 0 links · 1 refs"
well-traveled-road-effect,2,needs-enrich,"L2 · 28w · 0 links · 1 refs"
zero-risk-bias,2,needs-enrich,"L2 · 22w · 0 links · 1 refs"
zero-sum-bias,2,needs-enrich,"L2 · 26w · 0 links · 1 refs"
circle-of-competence,3,todo,"Mental model — level 3, link: dunning-kruger-effect"
congruence-bias,3,needs-enrich,"L2 · 127w · 0 links · 1 refs"
first-principles-thinking,3,todo,"Mental model — level 3"
parkinsons-law,3,todo,"Time & effort — level 2, link: planning-fallacy"
abilene-paradox,5,done,"L2 · 391w · 3 links · 1 refs"
affective-forecasting,5,done,"L2 · 415w · 3 links · 1 refs"
ambiguity-effect,5,done,"L2 · 418w · 3 links · 2 refs"
anchoring,5,done,"L2 · 451w · 3 links · 1 refs"
anthropomorphism,5,done,"L2 · 441w · 3 links · 1 refs"
appeal-to-novelty,5,done,"L2 · 409w · 3 links · 1 refs"
appeal-to-probability-fallacy,5,done,"L2 · 456w · 3 links · 2 refs"
argument-from-fallacy,5,done,"L2 · 464w · 3 links · 2 refs"
armchair-fallacy,5,done,"L2 · 441w · 3 links · 2 refs"
attentional-bias,5,done,"L2 · 464w · 3 links · 2 refs"
attribute-substitution,5,done,"L2 · 482w · 3 links · 2 refs"
authority-bias,5,done,"L2 · 425w · 3 links · 2 refs"
automation-bias,5,done,"L2 · 553w · 3 links · 1 refs"
availability-heuristic,5,done,"L2 · 457w · 3 links · 1 refs"
backfire-effect,5,done,"L2 · 474w · 4 links · 4 refs"
bandwagon-effect,5,done,"L2 · 450w · 3 links · 1 refs"
barnum-effect,5,done,"L2 · 484w · 3 links · 1 refs"
base-rate-fallacy,5,done,"L2 · 476w · 3 links · 1 refs"
belief-bias,5,done,"L2 · 502w · 3 links · 1 refs"
bias-blind-spot,5,done,"L2 · 501w · 4 links · 1 refs"
bizarreness-effect,5,done,"L2 · 482w · 3 links · 2 refs"
bucket-error,5,done,"L2 · 482w · 3 links · 2 refs"
cathedral-effect,5,done,"L2 · 464w · 2 links · 2 refs"
change-blindness,5,done,"L2 · 508w · 2 links · 1 refs"
cheerleader-effect,5,done,"L2 · 500w · 2 links · 2 refs"
chestertons-fence,5,done,"L2 · 498w · 2 links · 1 refs"
choice-supportive-bias,5,done,"L2 · 478w · 3 links · 1 refs"
clustering-illusion,5,done,"L2 · 489w · 3 links · 1 refs"
cognitive-load-theory,5,done,"L3 · 370w · 2 links · 2 refs"
confabulation,5,done,"L2 · 500w · 3 links · 1 refs"
confirmation-bias,5,done,"L2 · 501w · 3 links · 1 refs"
conjunction-fallacy,5,done,"L2 · 518w · 3 links · 1 refs"
conservatism,5,done,"L2 · 504w · 3 links · 1 refs"
dual-process-theory,5,done,"L4 · 345w · 3 links · 2 refs"
goodharts-law,5,done,"L2 · 488w · 4 links · 2 refs"
inversion,5,done,"L3 · 323w · 2 links · 2 refs"
second-order-thinking,5,done,"L3 · 340w · 2 links · 2 refs"
